Designator,Mid X,Mid Y,Rotation,Layer
C1,201.0625,-65.0875,90.0,top
C10,233.1625,-73.25,90.0,top
C11,216.3,-65.3,180.0,top
C12,194.8625,-89.55,180.0,top
C13,160.5625,-72.55,90.0,top
C14,195.2625,-64.75,180.0,top
C2,214.9625,-91.45,180.0,top
C3,231.2,-84.0,270.0,top
C4,172.410854,-88.9375,0.0,bottom
C5,175.5625,-76.9025,90.0,bottom
C6,221.7625,-76.85,90.0,bottom
C7,184.0,-91.8,270.0,top
C8,183.3625,-76.865,90.0,top
C9,206.1625,-78.55,90.0,top
D1,173.4625,-67.45,0.0,bottom
D2,196.3625,-67.35,0.0,bottom
D3,219.3625,-67.95,180.0,bottom
D4,231.3,-70.0,90.0,bottom
D5,209.0,-91.35,180.0,bottom
D6,160.510854,-84.0,270.0,bottom
D7,209.0,-62.15,0.0,top
J1,182.5625,-62.35,90.0,top
J2,236.1525,-77.45,180.0,top
J3,196.8,-93.75,90.0,top
J4,157.4625,-77.45,0.0,top
J5,196.8,-61.15,90.0,top
Q1,180.6625,-89.45,270.0,top
R1,222.9625,-93.15,180.0,bottom
R2,177.8,-91.2,270.0,top
R3,229.0,-62.7,270.0,top
R4,229.9,-67.0,0.0,top
R5,219.3625,-62.75,270.0,top
SW1,173.7,-77.45,90.0,top
SW2,196.8,-77.45,90.0,top
SW3,219.9,-77.45,90.0,top
SW4,182.5625,-66.38,0.0,top
U1,208.1625,-68.85,270.0,bottom
U2,223.0625,-89.75,270.0,top
U3,168.510854,-90.0375,180.0,top
U4,171.7625,-77.265,270.0,bottom
U5,217.9625,-77.2125,270.0,bottom
U6,187.1625,-77.265,270.0,top
U7,209.9625,-78.95,270.0,top
U8,224.3625,-64.95,180.0,top
